40km 40km,StartNumber,Rider,Horse,Loop 1 20km,Departure,Arrival,Vet,Loop 2 20km,Departure,Arrival,Vet
,1,Anne Safft,Wasim Jamaal,,15:46:20,13:44:06,14:01:26,,14:41:26,16:46:15,16:59:35
,2,Marie Bäckerud,E-mail L,,15:46:20,14:10:38,14:21:25,,15:01:25,17:10:01,17:25:13
,3,Mona Lysell-Widjestam,Gazca ox,,15:46:20,13:56:28,14:01:07,,14:41:07,16:24:49,16:33:09
,4,Annelie Eriksson,Mohaymin,,15:46:20,13:56:40,14:02:10,,14:42:10,16:38:18,16:42:56
,5,Ellen Elvung,Ora'miss S,,15:46:20,13:55:01,14:00:22,,14:40:22,16:46:13,16:51:25
,6,Christina Eriksson plym,GOLDEN TIARA AA (25%) SWE,,15:46:20,-,-,,-,-,-
,8,Sandra Andersson,Malicious Deceiver,,15:46:20,13:44:07,14:01:51,,14:41:51,-,-
,9,Liv Burdett,El Mc Donald,,15:46:20,13:55:49,14:02:01,,14:42:01,16:24:18,16:34:13
,10,Alvin Mohager,Penny Lane,,15:46:20,13:55:49,14:02:02,,14:42:02,16:24:16,16:34:14
,11,Ebba Bota,Paldruga Du Chene,,15:46:20,13:56:19,14:00:00,,14:40:00,16:24:48,16:30:50
,12,Ulrika Lönnqvist,Neirona Art,,15:46:20,14:14:18,14:18:00,,14:58:00,17:22:13,17:27:36
,13,Hannah Stenkvist,Ars Vincendi,,15:46:20,14:14:18,14:18:18,,14:58:18,17:22:14,17:27:37
,14,Görel Sigurdson,Essemess,,15:46:20,14:10:31,14:21:13,,15:01:13,17:09:59,17:20:21
,15,Helena Jonsson,King Peak ox,,15:46:20,13:56:40,14:02:11,,14:42:11,16:38:17,16:43:01
,16,Annika Kristland,Shakib,,15:46:20,13:55:51,14:02:04,,14:42:04,16:46:12,16:51:19
,17,Minna Lannfelt,Legolas S,,15:46:20,13:56:01,14:03:38,,14:43:38,16:46:14,17:02:07
,18,Sarah Nilsson,Terri,,15:46:20,14:10:32,14:19:11,,14:59:11,17:10:00,17:24:08
20km 20km,StartNumber,Rider,Horse,Loop 1 20km,Departure,Arrival,Vet
,32,Agnieszka Peret,Starbuck Des Alpes,,15:46:20,13:32:39,13:40:00
